Comentário,Classificação
"Dei entrada no Hospital da luz junto ao Colombo com uma intoxicação alimentar as 23:52 só fui atendido as 5 da manhã.
É inadmissível estar a pagar para isto mais valia ter ido a urgência do hospital público.
Saliento que a minha reclamação é do tempo de espera e não do tratamento médico e de enfermagem que foi 5 estrelas",Tempo de espera 
"Fui este mês às urgências para adultos, à chegada fui informada de que havia um tempo médio de espera de 3 horas e, quando questionados, informaram-me que apenas havia 4 médicos de serviço.
Ao fim de 4 horas e meia sou atendida, não se entende tal situação num serviço privado. Como tal, escrevi no livro de reclamações e uns dias mais tarde obtive resposta por parte do hospital a dar como justificação para o tempo de espera o facto de me ter sido atribuída pulseira verde. Não sei o que é pior, o estado em que está o serviço com falta de médicos/organizacao, ou o atestado de estupidez que me passaram via email",Tempo de espera 
"Sou cliente do hospital da Luz há anos, porém dia 23/08/2024 tive uma situação bastante desagradável.
Após ligar à LUZ24 e ser-me aconselhado ir ao hospital, dirigi ao mesmo, onde rapidamente fui chamada e informada que haveria uma médica que ja tinha aceitado a consulta e que em breves minutos seria chamada, para meu espanto estive quase 3h à espera e mesmo assim não fui atendida, após vários questionamentos meus e de diversas pessoas que estavam indicadas para a mesma Doutora foi-nos informado que a mesma não se encontrava no gabinete e que não atendia as chamadas.
Só depois de escrever no livro de reclamações é que a Doutora decidiu aparecer, tentaram se justificar com um suposto erro informático, mas a verdade é que as próprias funcionárias disseram que não é a primeira vez que a suposta médica este tipo de comportamentos. ",Tempo de espera 
"Já não é a primeira vez que venho ao Hospital da Luz de Lisboa e entre consulta e exames/raio X temos um tempo de espera de + de 3 horas.  Desorganização no seu auge! Agora imaginem estar mais de 3 horas com 1 criança de 1 ano de idade doente, este tempo todo à espera! Após reclamação na recepção a resposta foi “é como é”.. estão no caminho certo",Tempo de espera 
"Mau atendimento nas urgências, hoje presenciei um idoso a pedir apoio às funcionárias do atendimento das urgências e a mal-educada  da Andreia Gomes, falava para o senhor com um tom rude e pouco profissional, só o vieram acudir quando ele já estava no chão, uma situação digna de um país do terceiro Mundo mas não, era num hospital privado que,  cereja no bolo, ganha mais uns bons tostões com as ruinosas PPP'S. Para concluir, quando um hospital trata um paciente por cliente, acho que está tudo dito sobre a obsessão do lucro sobre a doença. Não aconselho este hospital made in china",Atendimento Hospitalar
"Não respondem a reclamações, pedidos de esclarecimento ou sequer é possível falar com alguém que tenha a informação. Quem atende o telefone não tem a informação e quem tem a informação não a usa. Uma consulta de dermatologia necessária para seguimento de atendimento na urgência foi proposta - por especial favor - para três meses depois da data indicada pelo médico da urgência como necessária para revisão da medicação prescrita ao doente.  No centro de Neurodesenvolvimento  Infantil não há sequer um telefone para que os doentes possam estabelecer  contacto . Mudei para o outro lado da Segunda Circular e não estou arrependida. - falta de atendimento ",Call Center
"Hospital com serviços ótimos mas o grande problema é fazer as coisas sem dizer que vai haver um custo extra. É assim que recebi uma fatura de 167 euros. Quando fiz a reclamação para não me ter informado do preço antes de fazer o tratamento (então não me ter dado direito á escolha) a resposta foi ""o medico atou o direito de não informar sobre o preço"". Mas depois eu tenho o dever de pagar.",Cobrança Indevida
Estive hoje quase 09 horas (entrei nas Urgências às 06.55h; saí já passava das 15.30h). Atrasos inadmissíveis para o que foi feito em termos de consulta e exames. Escrevi reclamação; assim mais vale ir ao SNS ,Tempo de espera 
"Estou há quase 1 mês aguardando qualquer retorno sobre o meu caso e simplesmente não tenho qualquer resposta. Tenho todos os documentos comprovando que devo receber o estorno, mas a empresa não finaliza esta questão e não justifica os motivos do atraso. Me sinto lesado com a falta de responsabilidade, seriedade e comprometimento da empresa. Seguindo com a reclamacao no Portal da Queixa e ERS.",Reembolso
"Duas hora e meia de espera e pessoas que chegaram depois, foram atendidas entretanto. Quando questionadas sobre a situação, as administrativas respondem que tenho de esperar... está certo...Como era cedo, quem traria o livro de reclamações não atendeu a chamada... é só bom serviço",Tempo de espera 
Péssimo funcionamento. Exames só são disponibilizados tardiamente e após reclamação.  Funcionários pouco prestáveis e trombudos. Uma vergonha. ,Exames Médicos
"Entramos para atendimento na emergência com meu filho às 13h com forte dor no olho esquerdo, a dor era tanto que ele vomitava. A pediatra de plantão deu um remédio para vômito e disse que ele precisava ser visto por um oftalmologista, era 19:40 e meu filho não tinha sido visto pelo oftalmologista ainda e não tinha tomado nada para dor.  Meu marido foi reclamar e a pediatra que estava no lugar da que havia avaliado meu filho, disse não saber o porquê o oftalmologista não tinha sido avisado e que precisava avaliar meu filho novamente antes de chamar o especialista. Tivemos que escalar o problema para que meu filho tivesse o diagnóstico às 23:45h. Um absurdo, falta de respeito , negligência total. Nota zero è muito para  este hospital,não recomendamos e não voltaremos.",Tempo de espera 
"Apesar do hospital ter sido a salvação do meu filho, eu gostava de apresentar reclamação sobre condições da Copa/ alimentação no Internamento de Pediatria.

Estive recentemente como acompanhante do meu filho de 17 meses,  hospitalizado com rotavírus e desidratação grave.

Horários inadequados das refeições
Os horários das refeições não eram adequados para um bebé internado. O pequeno-almoço era servido entre 8:30 e 9:00, o almoço às 13:00 e o jantar apenas às 20:30. Ora, um bebé que precisa de descanso e recuperação não pode ser alimentado tão tarde. O meu filho, por exemplo, costuma adormecer por volta das 20:30, o que significa que nunca chegou a tocar no jantar.
Falta de acesso adequado à água
Um ponto ainda mais grave foi a limitação diária de água. O meu bebé só tinha direito a 1,5L por dia, sendo que qualquer garrafa adicional tinha de ser paga. Isto é inaceitável, especialmente considerando que:
O meu filho estava hospitalizado por desidratação grave e a hidratação era essencial para a sua recuperação.
•Como acompanhante e mãe que amamenta, também tenho necessidades acrescidas de hidratação. Eu já estava a pagar ao hospital pelas minhas refeições, porque não incluir uma água de cortesia?!
Sendo que estávamos em internamento em isolamento, não era prático nem aconselhável sair do quarto para comprar água fora do hospita",Atendimento Hospitalar
"Se eu pudesse dar 0 eu dava, cobram as pessoas por algo que já foi pago, isso se chama roubo, e se não pagares colocam em tribunal. Aconselho que vejam às reclamações, há muitas pessoas com a mesma situação. Uma coisa é certa, vais ter problema com faturação, todas as vezes que eu fui neste hospital houve problemas com faturação, desde valor não está disponível na hora pra pagar, cobrança indevida, esperando uma eternidade para conseguir fazer o pagamento, entre outros. Quem trata da forma como a faturação funciona neste hospital realmente precisa rever o que está fazendo, porque dizer que é horrível é um elogio",Pagamento de consultas
Má experiência quanto à gestão do meu processo por parte dos serviços administrativos e desrespeito por parte das secretárias. Este comentário tem uma queixa desenvolvida no livro de reclamações,Gestão do Hospital
Eu estava com uma alergia cheguei as 9h da noite e só me atenderam á meia noite a melhor coisa que lá tem é o livro de reclamações,Tempo de espera 
"Dei à luz meu primeiro filho aqui no dia 5 de maio e, mesmo 6 meses depois, continuo sofrendo dores físicas e psicológicas devido à violência obstétrica a que fui submetida nas mãos do Dr. Shadi Abushad e de sua enfermeira assistente, Grace.

Apresentei uma reclamação oficial no Livro de Reclamações há mais de um mês e recebi uma carta padrão informando que receberia uma resposta em 10 dias úteis, mas não recebi nenhuma resposta direta sobre minha reclamação. Nem mesmo uma declaração fraca do tipo ""vamos investigar isso",Negligência Médica
"Ontem tive a pior experiência da minha vida em um hospital. Fiquei horas na urgência/emergência do Hospital da Luz, em Benfica, sem qualquer perspectiva de atendimento. Vi pacientes com pulseiras amarelas e vermelhas também abandonados à espera. Um verdadeiro descaso, ainda mais se tratando de um hospital particular. Nunca mais volto e não recomendo",Tempo de espera 
fui às emergências no dia 12/8 pelas 20:00! a triagem foi PÉSSIMA. estava com pressão alta 21/6 e a enfermeira sequer mediu a minha pressão! parece que manipula as pulseiras! esperamos 2 horas e foi tudo muito mal tratado! NUNCA MAIS NA EMERGÊNCIA DESSE HOSPITAL - mau atendimento ,Triagem
"Estive internada por duas noites após cirurgia no Lusíadas Lisboa. Relativamente ao tratamento médico e enfermagem o serviço prestado foi bom.
O barulho provocado pelas conversas do pessoal durante as noites é deveras incomodativo.
Outro ponto negativo é o serviço administrativo de um modo geral. Além da pouca simpatia das funcionarias o serviço é lento e ineficiente.",Ambiente
"Existe serviços péssimos, mas esse além de ser horrível é muito triste. Arrogância desde a recepção até ao médico. Sem contar a demora no atendimento do telefone. Não recomendo nem um pouco qualquer passagem lá, o teu quadro pode até piorar, gerando-te estresse e frustração, o que pode agravar os teus sintomas",Call Center
"Serviço muito mau. Desde o serviço telefónico péssimo onde nunca conseguimos falar com as pessoas que necessitamos, até a arrogância de quem está a atender ao público. Simplesmente estou super triste de ter sido este o hospital escolhido pelo seguro para me seguir. Não recomendo, estou a 1 dia inteiro a resolver 1 problema que basta entrarem no meu processo para dar autorização para fazer 1 exame fora do hospital, e ninguém consegue fazer nada. Simplesmente incompetentes",Atendimento Hospitalar / Call Center
"O vosso atendimento telefónico é péssimo , dão-nos música durante 15 ou mais minutos. não sei se mais, porque cansei de aguardar. Dão-nos opções e nenhuma delas atende, Isso é falta de respeito pelos utentes. Nós não pedimos música ,queremos é ser atendidos, o desrespeito é uma atitude ignorante e arrogante",Call Center
"Liguei para marcar um exame, fiz a ficha com uma operadora e disse qual o exame (muito antipática), que me passou para outra que me fez as mesmas perguntas com o mesmo grau de arrogância. Desisti de fazer o exame neste hospital pois acho que as pessoas têm de ser cordiais desde o primeiro contacto e a experiência foi péssima",Call Center
"Da experiência que titve, só posso dizer que este hospital é péssimo, os funcionários em geral são extremamente antipáticos, arrogantes e mal educados, e os médicos são autênticos comerciantes",Atendimento Hospitalar
São pouco proficionais e há arrogância e abuso do poder no atendimento adequado nos tratamentos em acidente,Atendimento Hospitalar
"Acidente de escola, criança com nariz partido, ficamos sem ser atendidas 1 hora e 40 min e sempre deixaram passar pessoas para frente.
Podemos chamar superior e dar o livro de reclamações nao deram nem chamaram - esperei 45 min! Péssimo atendimento - tempo de espera",Tempo de espera 
"Hospital que já foi bom. Adorava e agora detesto. Ja deixei de marcar novas consultas pela arrogância e prepotência do atendimento. Claro que a funcionária não estava minimamente preocupada, mas não marquei mais consultas daquele tipo e o hospital é que perdeu com isso. Péssimo atendimento às pessoas. Mais recentemente fui a uma urgência em que a médica não sabia grande coisa. Paguei 40 euros para ser mal tratado de forma fria e arrogante. Foi com seguro, podia ter sido pior, há pessoas que pagam muito mais para serem tratadas ainda pior. Já deu o que tinha a dar e vou relatar estas experiências a toda a gente que possa.",Atendimento Hospitalar
"Atendimento péssimo.
Passei por consulta privada com um ginecologista em janeiro ,experiência horrorosa,  nada profissional, atitude arrogante nenhum interesse sobre meu histórico de saúde, uma total falta de respeito com meu tempo e meu dinheiro (€100 jogados no lixo) .
Péssimo",Atendimento Hospitalar
"Fui pela 1x ao Hospital da Luz e graças ao dr João Gonçalves Correia de ortopedia, vai ser a última.

Não permite que os pacientes contem a sua versão da história, os seus sintomas, desvalorizando cada palavra. Roçou inclusive o gozo na conversa que teve comigo, sobre o meu historial e a actividade física que me permito fazer, com esforço.

Arrogante, com 0 compaixão e sentido médico, claramente acorda a pensar que toda a gente se licenciou em medicina e casos medíocres, não lhe devem interessar.

Uma tristeza ter médicos assim, sobretudo no serviço privado, onde se paga bastante por consulta de especialidade -",Atendimento Hospitalar
"Prestação lamentável e arrogante da funcionária Ângela Nante, do call centre.. Como é que um hospital privado tem este tipo de assistência com pouco profissionalismo e arrogância e nada prestável.  Em nada dignifica o serviço do Hospital da Luz",Call Center
"Falando de médicos, apenas conheci um e fui atendida muito bem.gostei.
Quanto ao pessoal que nos entrega os exames,...cuidado,! pois já me entregaram exames que não eram meus, na hora não reparei, depois tive que la voltar...tem pessoas mais empáticas do que outras...algumas são um pouco frias e arrogantes
...mas o pior de tudo é o tempo de espera depois que se tira a senha...algo esta a falhar. talvez a pouca ""concentração dos empregados""...digo eu!",Exames Médicos
"as urgências são piores que um hospital público. nunca mais meto lá os pés. pagamos um balúrdio para ficar 5 horas à espera, os médicos e enfermeiros são arrogantes e estão sempre com ar de quem não quer estar ali. mal olham 2 segundos para nós e ainda falham no diagnóstico. nunca mais",Urgências Hospitalares
"Um dos piores serviços de Clínica Particular (e eu conheço várias) que me foi dado a conhecer. Má organização, péssimo serviço administrativo, arrogância sem limites. A única coisa que se safa é o médico... até agora",Serviço Administrativo
"Atendimento super lento, até para apenas ligar e saber informações para fazer uma marcação de consulta. Ainda são arrogantes a falar. As supostas recepcionistas, trabalham num call center sem formação nenhuma, e não conseguem sequer auxiliar e responder as perguntas feitas, apenas tão a ler um script",Call Center
"super difícil marcar  uma consulta
este sistema já me impediu de marcar consultas
a vossa assistente virtual é uma coisa sem sentido .
não percebe metade do que se diz . Invariávelmente reencaminha para um colaborador que nos desliga o telefone na cara",Assistente Virtual / Call Center
"Com a minha esposa, grávida de 8 meses e 2 semanas, apresentando sintomas graves de saúde, nomeadamente: falta de ar, vómitos persistentes e dores intensas no corpo. Apesar da gravidade evidente e da vulnerabilidade do estado de saúde de uma gestante, fomos mantidos em espera durante mais de 3 horas sem atendimento adequado. Durante este período, solicitei informações à funcionária da receção/atendimento, tendo sido tratado com desconsideração e até mesmo com distrato. Foi-me dito que se desejasse informações deveria “passar novamente pela triagem”, o que considero uma resposta inaceitável, dado o estado crítico da paciente. Este episódio constitui, na minha perspetiva, um abuso, negligência e grave falha no dever de cuidado por parte da unidade de saúde. Procurámos um hospital privado justamente para garantir maior segurança e rapidez no atendimento, mas deparamo-nos com uma situação de risco acrescido para mãe e bebé.",Triagem / Atendimento
"do enfermeiro pela triagem sem qualquer empatia, simples não fazem questão do atendimento HUMANIZADO, me surpreende porque sendo particular e tendo um atendimento medíocre comparado ao público.VERGONHOSO. E quando são questionado sobre o tempo de espera ele simplesmente informa que podemos volta pra casa, revelando que não se importam. Mesmo utilizando os meios de comunicação para agilizar o processo l através do Luz 24 é frustrante esse atendimento. Não recomendo e não pretendo voltar.",Triagem / Atendimento
"8 horas entre entrar nas urgências, triagem, consulta, analises, tac e novamente gabinete do médico... 8 HORAS!!! Num hospital particular!!! Costumava vir a este hospital, mas a qualidade desceu e muito, o tempo de espera é ao nivel do SNS e A PAGAR. No mínimo ridículo",Triagem / Atendimento
"É muito mau a nivel de Urgências, o enfermeiro da triagem era um bocejo, as pulseiras verdes apos triagem esperam 2 horas, para um servico pago e mau demais, a concorrência é bem melhor.",Triagem / Atendimento
"acompanhei uma amiga às urgências depois de fazer a triagem esperamos cerca de 3 horas para o médico ver a minha amiga, foi pedido um tac, foi fazer o exame, o técnico foi bastante mal educado!!!",Triagem / Atendimento
"a admissão ocorreu às 19.43h. Questionei sobre o tempo de espera disseram que após a triagem as pulseiras verdes estavam com uma hora de espera. Fui atendida pela médica sensívemente às 23.00 h. A médica referiu que iria fazer medicação e raio X, a equipa de enfermagem era muito reduzida e estavam vários doentes à espera. Estive uma hora à espera para fazer o referido raio X ninguém me comunicou o motivo do atraso. Perguntei qual a previsão de realização do referido exame a assistente não sabia. Desisti, o processo foi encerrado às 12.24 h. Manifesto o meu total desagrado pela organização e atendimento do hospital.",Triagem / Atendimento
"fui às urgências e sabia a partida que tinha uma longa espera pela frente mas nada justifica o atendimento medríocre e pouco simpático. Na triagem a enfermeira disse-me 2 palavras, mal me deixou falar e deu-me a pulseira verde… esperei 3 horas na sala pacientemente e quando entrei o médico apesar de simpático fez-me o diagnóstico através das breves palavras que partilhei. Já não pedia sequer exames mas pelo menos o médico ter o bom senso de me oscultar, seria o mínimo depois de 3 horas de espera e o pagamento feito ao hospital. Resumo da história, paguei, esperei 3 horas e sai com uma receita mas se fui bem atendida nem por isso! Não recomendo!!",Triagem / Atendimento
"As urgências funcionam muito mal. Há falta de empregados, as indicações para onde nos temos que dirigir são inexistentes, estive à espera 1h para ser atendida pela receção, outra 1h para ser vista pela Triagem e 3h para ter a consulta. É verdade que há muitas urgências que não são urgências de verdade, mas as pessoas doentes que precisam faltar ao trabalho vão às urgências para terem CIT. No meu caso era urgência porque tinha osso partido, mas nem cadeiras tinham para me poder sentar.",Triagem / Atendimento
"Péssimo atendimento na triagem de urgência para adultos pela enfermeira Claudia Cruz . Arrogante e fria, a mostrar 0 interesse pelas queixas do doente. Fez uma única pergunta “como é que aconteceu ?“ e deu logo a pulseira verde, sem sequer haver perguntas sobre antecedentes .. alguma medicação que esteja a tomar , febre nos últimos dias .. nada .",Triagem / Atendimento
"dei entrada na urgência do hospital da Luz pelas 16h. As 20h sem ter sido chamada por um médico porque sim a triagem é super rápida mas a enfermeira nem olha para nós, quase que a despachar o paciente dirijo-me novamente a sala da triagem o meu estado clínico tinha piorado. Só queria reposta para a previsão da hora da chamada ao que o enfermeiro me diz que não pode fazer nada apenas que havia 8 pessoas a minha frente na chamada. As 21h sou chamada para o gabinete médico o pior foi presenciar neste intervalo um outro paciente que de forma arruaceira e agressiva falou com os funcionários e enfermeiros e da pulseira verde igual a minha deram-lhe a amarela. O que fez com que fosse primeiro chamado e fazendo-me estar mais tempo à espera. O pior disto tudo dirijo-me ao gabinete médico e a doutora diz-me que o relatório médico pode demorar de 2 a 8 horas de espera. Escusado será dizer que me encontro desde as 16h e são 23h40 e ainda estou na mesma situação, e com dores horríveis e dificuldade em respirar, sem comer.",Triagem / Atendimento
"estava com muitas dores no estômago. Ficamos 5 horas no hospital a espera dos exames, dentro destas 5 horas aconteceram diversas situações completamente desagradáveis e nada profissionais na minha opinião. Tive de pedir ao medico, a dar mais medicações de dor para o meu namorado, deixando bem claro que a dor não estava passando. Quando fomos pedir informações na triagem, 3 das 5 vezes não havia ninguém la, e quando pedimos uma atenção maior, eles responderam com ""não podemos fazer mais nada, tem que aguardar um medico."" Acho isto uma falta de profissionalismo, ética, e consideração da parte do hospital com os seus pacientes.",Triagem / Atendimento
"Péssimo ! Minha esposa chegou sentindo-se extremamente mal onde a pior queixa era dor na nuca e a enfermeira da triagem apenas mediu a temperatura, não mediu pressão e nem batimentos. Um atendimento horrível, sem nenhum critério para classificação no atendimento.",Triagem / Atendimento
"Nem precisei ir ao hospital para saber o descaso e a falta de competência! Tentei ligar inúmeras vezes no número normal e no de triagem, e simplesmente não chama, a ligação só cai. Se não vão atender de qualquer forma, por que disponibilizam um número de telefone?",Triagem / Atendimento
"Estamos a 4 horas nas urgências e não tem médicos disponíveis, atendem na mesma a fazer triagem e nos deixam como trouxas à espera , se cá estamos quer dizer que é de grave importância, ninguém sai da sua casa 3:30 da madrugada para vir passear ao hospital, fui questionar a receção e diz para eu fazer uma queixa no livro de reclamações não tem o que fazer não encontram médicos para vir trabalhar…. Isto que é pago Pago é uma desgraca já é 3.ª vez q venho é só a faturar minha saúde continua a regredir . Péssimo não percam tempo",Triagem / Atendimento
"Péssimo atendimento na urgência, antipáticas desumanas,respostas frias várias vezes tirar senha até para saída do doente é preciso esperar mais de uma hora para uma declaração para o trabalho depois nem 45, cêntimos tinham de troco esperamos mais de 5mimutos onde antipáticas mente disseram não há troco pode ficar assim???? Eu disse não ,,,,,e paguei multibanco,uma vergonha até a pagar por( 10 minutos de consulta ) para nunca mais voltar pobre do povo nem a pagar a triagem muito fraca pior que o público e sem conhecimento de nada de saúde urgente , tudo isto em 5 horas num hospital privado com tantas fama",Triagem / Atendimento
Aguardei cerca de 15 min até que aparecesse alguém a iniciar o turno as 8h quando dizem ter serviço 24h. O atendimento da triagem é de total indiferença para com os pacientes. Reencaminham certos testes para o laboratório ao lado e na maior parte dos casos depois dizem que não podem fazer nada e mandam para o hospital público. Quando nalguns casos podiam fazer mas mais não me extendo.,Triagem / Atendimento
"A minha filha foi atendida depois de quase 3 horas a esperar. Estava a arder de febre na triagem e foi despachada sem medirem a sua temperatura na saída. Desde que chegou em casa, a febre permanece entre 38 e 39. Os médicos estão sobrecarregados. Eram 3 para atender mais de 50 criancas. É uma vergonha o atendimento!",Triagem / Atendimento
"Primeiro dizer que o tempo de espera na aplicação está totalmente incorreto apesar de dizerem que actualizam a cada 2h, mas eu passei a manhã à espera e havia pessoas à espera 2h tal.",Triagem / Atendimento
A triagem na urgência é mal feita. Não é feita com os mesmo critérios que na cuf e nos Lusiadas onde a criança entra com febre e dão pulseira amarela.,Triagem / Atendimento
"Péssimo! Para além do serviço todo uma vergonha, tempos de espera péssimos. Para além disso no site indica um tempo de espera relativamente baixo e quando chegamos verificamos que é totalmente falso. Tempo de espera no site 15minutos, tempo de espera real desde que tirei a senha 1 hora e 02 m para dar entrada, 43 minutos a ser chamado para a triagem e agora 1 à espera desde a triagem para ir ao médico. Vergonhoso !",Triagem / Atendimento
"Com consulta marcada após triagem telefónica no dia anterior, a consulta foi adiada para 4 h depois porque o médico estava a fazer uma cirurgia. Inacreditável! Não sabem a agenda dos médicos. Serviço de má qualidade, em total desconsideração pelos doentes. Pior é impossível.",Triagem / Atendimento
"Fui tratado com desconfiança por ser um turista que fala inglês. Liguei quatro vezes para fazer a pré-triagem e sempre que pedia para falar em inglês, a ligação simplesmente desligava. Então, fui ao hospital, independentemente de onde me confrontaram e me perguntaram que eu deveria ter ligado, ao que respondi que sim e mostrei meu telefone. Disseram-me então que era ""estranho"", mas que eu teria que entrar no final da fila de qualquer maneira. Sentei-me e, após 2 horas de espera, perguntei por que não fui triado e me disseram que era porque a recepcionista ""esqueceu"" de me registrar. Depois, me disseram que eu precisaria pagar US$ 260 para consultar um médico e também para entrar novamente na triagem.",Triagem / Atendimento
"Muito estranho, hoje fui confrontado com uma inovação, urgência pediatrica só com marcação e para clientes. Como cliente usual achei muito estranho, neste caso, queda do meu filho, não ser atendido na urgência pediatria, nem sequer ter sido feita a triagem, com o pretexto de não ter marcação! Que eu saiba ainda não se marcavam urgência!!! Mas agora parece ser assim...",Triagem / Atendimento
"Na triagem só existem pulseiras verdes! Tempo de espera fora de normal, horas e horas.... Crianças cheias das dores no corredor com pulseiras verdes, enfim. Nunca mais! Hospital só para sacar dinheiro do povo",Triagem / Atendimento
"Desculpe mas estou agora com minha filha nas urgências com uma possível fractura e até agora depois de quase uma hora é meia só triagem. Deram ibuprofeno na triagem, sem perguntar se tinham alergia ou não. . Muita demorar para o raio X, enfim. ",Triagem / Atendimento
"Quanta falta de formação nos funcionários, desde receção, triagem, senhora da limpeza, quanto a médica correu tudo bem, mas já o restante, teem muito que aprender e ter compaixão aos doentes.",Triagem / Atendimento
Péssimo atendimento!! Não informam os utentes que tem um tempo médio de espera de 3 horas aquando da admissão e triagem! Após 2 horas de espera e Apenas 2 médicos em atendimento de urgência antes da meia-noite optei por dirigir-me ao Hospital Lusíadas a menos de 500metros e fui atendida em 30 minutos!! Conclusao nunca mais serão a minha primeira opção!!,Triagem / Atendimento
"O atendimento não é humanizado, as funcionárias são arrogantes e desinteressadas em ajudar. A triagem é desorganizada, não enviam fatura por e-mail e em nenhum momento pediram minha identificação.",Triagem / Atendimento
"Mau demais, mau demais para o valor q se paga, a triagem é anedótica o resto nem comento, como é possível! Em caso de urgência por favor não tentem porque 5 a 6 horas para começar é certo",Triagem / Atendimento
"Nas salas de espera do serviço de urgência há cartazes nas parede a dizer que pessoas com febre, tosse, sintomas gripais... deve colocar máscara. Das imensas pessoas com esses sintomas, apenas duas as tinham. Pergunto???? Porque não fornecem logo as máscaras na triagem?",Triagem / Atendimento
3 horas e meia para triagem com uma criança de 17 meses????????? Fui ao público a seguro e atendida em 2 min e com a mesma quantidade de doentes á espera. Completamente ridículo.,Triagem / Atendimento
"Estive quase 3 horas depois da triagem para ser visto por uma médica... Fiz análises e já lá vai 1,30 horas e nada... No total desde que cheguei já lá vão 4,30 horas e continuam a somar, para uma dor nas costas... As chamadas não respeitam a triagem e o n. da senha...",Triagem / Atendimento
triagem foi PÉSSIMA. estava com pressão alta 21/6 e a enfermeira sequer mediu a minha pressão! parece que manipula as pulseiras! esperamos 2 horas e foi tudo muito mal tratado!,Triagem / Atendimento
"A urgência pediatrica está parecendo de um hospital público, uma vergonha temos que esperar por mais de 4 horas, a triagem a enfermeira nem observa a criança apenas decide qual pulseira entregar.",Triagem / Atendimento
"Fui atendida desde a recepção, por empregados despreparados sem informacões tecnicas, passando pela triagem e uma empregada do administrativo(esta ultima grosseira). Para um atendimento emergencial, para uma idosa de 71 anos, demorou mais de 8 horas de espera! Não recomendo esse hospital!",Triagem / Atendimento
quase 4 horas de espera enquanto o aplicativo deles dizia 50 minutos! Não perca seu tempo e dinheiro. Procure outro hospital que respeite seus pacientes.,App / Atendimento
"Muito bonito, muito moderno, têm até uma app própria, só esqueceram de comprar relógios pra atender as consultas na hora. Ja são mais de 1 hora e 30 minutos de atraso para uma consulta agendada!",App / Atendimento
Este hospital tem que rever a sua política de entrega dos resultados de meios complementares de diagnóstico...entrega ao balcão ou por correio cara...na app quando esta funciona... simpatia dos colaboradores deixa muito a desejar seja no espaço físico como telefonicamente....,App / Atendimento
O serviço de apoio ao paciente é péssimo - esperam-se horas ao telefone até que respondam e horas até que resolvam problemas ou marquem algo. A App nem sempre funciona e parece estar sempre em intervenção. Excelente serviço médico e de enfermagem e péssima gestão adminiatrativa e organizacional.,App / Atendimento
